ror,id_oa,display_name,NomeEsteso,type,NomeOperativo,status,Tipologia,Statale,Indirizzo,COMUNE,PROVINCIA,REGIONE,ZonaGeografica,URL,ClasseDimensione,NomeRubrica,score
https://ror.org/0592q0v50,https://openalex.org/I4210165932,Giustino Fortunato University,"Università telematica ""Giustino Fortunato"" di Benevento",education,Benevento - Giustino Fortunato,Attivo    ,Università telematica,Non Statale,"Viale R. Delcogliano, 12",BENEVENTO,BENEVENTO,CAMPANIA,SUD,www.unifortunato.eu,inferiore a 10.000,,64.56
https://ror.org/037263487,https://openalex.org/I4210135106,Università degli Studi Internazionali di Roma,Università degli Studi Internazionali di Roma – UNINT,funder,Roma UNINT,Attivo    ,Università,Non Statale,"Via Cristoforo Colombo, 200",ROMA,ROMA,LAZIO,CENTRO,www.luspio.it,inferiore a 10.000,,64.52
https://ror.org/04z08z627,https://openalex.org/I129627893,University of Molise,Università degli Studi del Molise,funder,Molise,Attivo    ,Università,Statale   ,"Via de Sanctis, s.n. II Edificio Polif.",CAMPOBASSO,CAMPOBASSO,MOLISE,SUD,www.unimol.it,inferiore a 10.000,MOLISE,64.44
https://ror.org/01q8b6q23,https://openalex.org/I56441308,Libera Università Internazionale degli Studi Sociali Guido Carli,Libera Università internazionale degli studi sociali Guido Carli - (LUISS) di Roma,funder,Roma LUISS,Attivo    ,Università,Non Statale,"Viale Pola, 12",ROMA,ROMA,LAZIO,CENTRO,https://www.luiss.it,inferiore a 10.000,,63.92
https://ror.org/04dfrdm61,https://openalex.org/I4210130905,Unitelma Sapienza University,Università telematica Unitelma Sapienza di Roma,education,Roma UNITELMA,Attivo    ,Università telematica,Non Statale,"Viale Regina Elena, 295",ROMA,ROMA,LAZIO,CENTRO,www.unitelma.it,inferiore a 10.000,,63.89
https://ror.org/04pp4xq32,https://openalex.org/I200420086,IULM University,Libera Università di Lingue e Comunicazione (IULM),education,Milano IULM,Attivo    ,Università,Non Statale,"Via Carlo Bo, 1",MILANO,MILANO,LOMBARDIA,NORD-OVEST,www.iulm.it,inferiore a 10.000,,63.64
https://ror.org/05ctdxz19,https://openalex.org/I112862951,University of Messina,Università degli Studi di Messina,funder,Messina,Attivo    ,Università,Statale   ,"P.zza S. Pugliatti, 1",MESSINA,MESSINA,SICILIA,ISOLE,www.unime.it,da 20.000 a 29.999,MESSINA,63.16
https://ror.org/047302w76,https://openalex.org/I9568059,University for Foreigners Perugia,Università per stranieri di Perugia,funder,Perugia Stranieri,Attivo    ,Università,Statale   ,"P.zza Fortebraccio, 4 Palazzo Gallenga",PERUGIA,PERUGIA,UMBRIA,CENTRO,www.unistrapg.it,inferiore a 10.000,Stranieri di PERUGIA,63.08
https://ror.org/03c44v465,https://openalex.org/I68618741,Polytechnic University of Bari,Politecnico di Bari,education,Bari Politecnico,Attivo    ,Politecnico,Statale   ,"Via Amendola, 126/B",BARI,BARI,PUGLIA,SUD,www.poliba.it,da 10.000 a 19.999,Politecnico di BARI,63.04
https://ror.org/04nxkaq16,https://openalex.org/I186995768,Università degli studi di Cassino e del Lazio Meridionale,Università degli Studi di Cassino e del Lazio Meridionale,funder,Cassino,Attivo    ,Università,Statale   ,Viale dell'Università-Rettorato CampusUniversitario - località Folcara,CASSINO,FROSINONE,LAZIO,CENTRO,www.unicas.it,inferiore a 10.000,CASSINO e LAZIO MERIDIONALE,61.97
