ateneo_id,score,cognome_rubrica,nome_completo_rubrica,display_name_openalex,author_id_openalex,orcid
https://openalex.org/I93860229,100.00,BARZAGHI Riccardo,BARZAGHI Riccardo,Riccardo Barzaghi,https://openalex.org/A5033843517,https://orcid.org/0000-0002-2847-3841
https://openalex.org/I93860229,100.00,BASCETTA Luca,BASCETTA Luca,Luca Bascetta,https://openalex.org/A5089088404,https://orcid.org/0000-0002-5029-1083
https://openalex.org/I93860229,100.00,BASELLI Giuseppe,BASELLI Giuseppe,Giuseppe Baselli,https://openalex.org/A5012150223,https://orcid.org/0000-0003-2978-1704
https://openalex.org/I93860229,100.00,BASSETTI Federico,BASSETTI Federico,Federico Bassetti,https://openalex.org/A5004620848,
https://openalex.org/I93860229,100.00,BASSI Andrea,BASSI Andrea,Andrea Li Bassi,https://openalex.org/A5062458146,https://orcid.org/0000-0002-1265-4971
https://openalex.org/I93860229,100.00,BASSO BASSET Francesco,BASSO BASSET Francesco,Francesco Basso Basset,https://openalex.org/A5027847749,https://orcid.org/0000-0002-2148-0010
https://openalex.org/I93860229,100.00,BAVIERA Roberto,BAVIERA Roberto,Roberto Baviera,https://openalex.org/A5067226153,https://orcid.org/0000-0002-8557-979X
https://openalex.org/I93860229,100.00,BAX Carmen,BAX Carmen,Carmen Bax,https://openalex.org/A5065533844,https://orcid.org/0000-0003-3820-2321
https://openalex.org/I93860229,100.00,BAZRI Shahab,BAZRI Shahab,Shahab Bazri,https://openalex.org/A5110656971,
https://openalex.org/I93860229,100.00,BECATTINI Niccolo',BECATTINI Niccolo',Niccolo Becatini,https://openalex.org/A5092529824,
https://openalex.org/I93860229,100.00,BECCIU Gianfranco,BECCIU Gianfranco,Gianfranco Becciu,https://openalex.org/A5051466324,https://orcid.org/0000-0002-0959-8841
https://openalex.org/I93860229,100.00,BELFI Marco,BELFI Marco,Marco Belfi,https://openalex.org/A5065941857,https://orcid.org/0000-0002-7199-4458
https://openalex.org/I93860229,100.00,BELLAN Diego,BELLAN Diego,Diego Bellan,https://openalex.org/A5029222556,https://orcid.org/0000-0002-9899-0609
https://openalex.org/I93860229,100.00,BELLAZZECCA Enrico,BELLAZZECCA Enrico,Enrico Bellazzecca,https://openalex.org/A5034199283,https://orcid.org/0000-0002-3936-6945
https://openalex.org/I93860229,100.00,BELLINI Emilio,BELLINI Emilio,Emilio Bellini,https://openalex.org/A5054816205,https://orcid.org/0000-0002-9435-308X
https://openalex.org/I93860229,100.00,BELLINI Oscar Eugenio,BELLINI Oscar Eugenio,Oscar Eugenio Bellini,https://openalex.org/A5003684076,https://orcid.org/0000-0002-4767-1958
https://openalex.org/I93860229,100.00,BELLINTANI Stefano,BELLINTANI Stefano,Stefano Bellintani,https://openalex.org/A5025733050,https://orcid.org/0000-0003-2614-4486
https://openalex.org/I93860229,100.00,BELLOLI Marco,BELLOLI Marco,Marco Belloli,https://openalex.org/A5013206910,https://orcid.org/0000-0002-1780-5038
https://openalex.org/I93860229,100.00,BELLOSTA Tommaso,BELLOSTA Tommaso,Tommaso Bellosta,https://openalex.org/A5010913543,https://orcid.org/0000-0002-7745-6052
https://openalex.org/I93860229,100.00,BENGO Irene,BENGO Irene,Irene Bengo,https://openalex.org/A5037135660,https://orcid.org/0000-0003-0191-8297
https://openalex.org/I93860229,100.00,BERETTA Alessandra,BERETTA Alessandra,Alessandra Erbetta,https://openalex.org/A5053230858,https://orcid.org/0000-0003-3155-4850
https://openalex.org/I93860229,100.00,BERETTA Stefano,BERETTA Stefano,Stefano Beretta,https://openalex.org/A5080398207,https://orcid.org/0000-0003-4375-004X
https://openalex.org/I93860229,100.00,BERIA Paolo,BERIA Paolo,Paolo Beria,https://openalex.org/A5004948368,https://orcid.org/0000-0001-5171-6576
https://openalex.org/I93860229,100.00,BERIZZI Alberto,BERIZZI Alberto,Alberto Berizzi,https://openalex.org/A5078434165,https://orcid.org/0000-0002-2856-783X
https://openalex.org/I93860229,100.00,BERNARDINI Alberto,BERNARDINI Alberto,Alberto Bernardini,https://openalex.org/A5088704369,https://orcid.org/0000-0001-7973-0134
https://openalex.org/I93860229,100.00,BERNASCONI Anna,BERNASCONI Anna,Anna Bernasconi,https://openalex.org/A5078800193,https://orcid.org/0000-0001-8016-5750
https://openalex.org/I93860229,100.00,BERNASCONI Roberto,BERNASCONI Roberto,Roberto Bernasconi,https://openalex.org/A5016836531,https://orcid.org/0000-0003-2193-8017
https://openalex.org/I93860229,100.00,BERNELLI ZAZZERA Franco,BERNELLI ZAZZERA Franco,F. Bernelli Zazzera,https://openalex.org/A5050692324,https://orcid.org/0000-0002-9982-4661
https://openalex.org/I93860229,100.00,BERNINI Luca,BERNINI Luca,Luca Bernini,https://openalex.org/A5059344464,https://orcid.org/0000-0002-7064-7518
https://openalex.org/I93860229,100.00,BERNUZZI Claudio,BERNUZZI Claudio,Claudio Bernuzzi,https://openalex.org/A5009716983,https://orcid.org/0000-0001-7852-3950
https://openalex.org/I93860229,100.00,BERSANI Eleonora,BERSANI Eleonora,Eleonora Bersani,https://openalex.org/A5077430900,https://orcid.org/0000-0002-9215-1070
https://openalex.org/I93860229,100.00,BERSANI Marcello Maria,BERSANI Marcello Maria,Marcello M. Bersani,https://openalex.org/A5052125239,https://orcid.org/0000-0001-5137-940X
https://openalex.org/I93860229,100.00,BERTARELLI Chiara,BERTARELLI Chiara,Chiara Bertarelli,https://openalex.org/A5073814402,https://orcid.org/0000-0002-4577-0741
https://openalex.org/I93860229,100.00,BERTI Francesca,BERTI Francesca,Francesca Berti,https://openalex.org/A5041430688,https://orcid.org/0000-0001-8621-2503
https://openalex.org/I93860229,100.00,BERTOLA Paola,BERTOLA Paola,Paola Bertola,https://openalex.org/A5019226588,https://orcid.org/0000-0003-1522-4077
https://openalex.org/I93860229,100.00,BERTOLO Maresa,BERTOLO Maresa,Maresa Bertolo,https://openalex.org/A5050243098,https://orcid.org/0000-0002-1846-7739
